GeneName	xref_id	HN1.5	Proteo
ACTR3	10096	-33	NA
ACTR3B	57180	-116	NA
ACTR3C	653857	-53	NA
ACTR5	79913	-104	NA
ACTR6	64431	-29	NA
ACTR8	93973	-57	NA
ACTRT1	139741	1	NA
ACTRT2	140625	0	NA
ACTRT3	84517	-172	NA
ACVR1	90	9	NA
ACVR1B	91	20	NA
ACVR1C	130399	101	NA
ACVR2A	92	-4	NA
ACVR2B	93	77	NA
ACVRL1	94	12	NA
ACY1	95	-85	NA
ACY3	91703	-33	NA
ACYP1	97	-19	NA
ACYP2	98	-2	NA
ADA	100	24	NA
ADA2	51816	26	NA
ADAD1	132612	-7	NA
ADAD2	161931	5	NA
ADAL		-50	NA
ADAM10	102	19	NA
ADAM11	4185	-60	NA
ADAM12	8038	124	NA
ADAM15	8751	-33	NA
ADAM17	6868	30	NA
ADAM18	8749	-3	NA
ADAM19	8728	-30	NA
ADAM2	2515	59	NA
ADAM20	8748	25	NA
ADAM21	8747	-52	NA
ADAM22	53616	-65	NA
ADAM23	8745	-38	NA
ADAM28	10863	113	NA
ADAM29	11086	-3	NA
ADAM30	11085	3	NA
ADAM32	203102	66	NA
ADAM33	80332	17	NA
ADAM7	8756	20	NA
ADAM8	101	45	NA
ADAM9	8754	53	NA
ADAMDEC1	27299	-12	NA
ADAMTS1	9510	-20	NA
ADAMTS10	81794	65	NA
ADAMTS12	81792	-51	NA
ADAMTS13	11093	74	NA
ADAMTS14	140766	-2	NA
ADAMTS15	170689	-67	NA
ADAMTS16	170690	48	NA
ADAMTS17	170691	-20	NA
ADAMTS18	170692	-19	NA
ADAMTS19	171019	-48	NA
ADAMTS2	9509	109	NA
ADAMTS20	80070	42	NA
ADAMTS3	9508	-73	NA
ADAMTS4	9507	-19	NA
ADAMTS5	11096	-13	NA
ADAMTS6	11174	39	NA
ADAMTS7	11173	16	NA
ADAMTS8	11095	24	NA
ADAMTS9	56999	-58	NA
ADAMTSL1	92949	-20	NA
ADAMTSL2	9719	61	NA
ADAMTSL3	57188	7	NA
ADAMTSL4	54507	50	NA
ADAMTSL5	339366	-1	NA
ADAP1	11033	-4	NA
ADAP2	55803	-26	NA
ADAR	103	-53	NA
ADARB1	104	6	NA
ADARB2	105	-2	NA
ADAT1	23536	-177	NA
ADAT2	134637	-141	NA
ADAT3	113179	-61	NA
ADCK1	57143	-170	NA
ADCK2	90956	-28	NA
ADCK5	203054	-17	NA
ADCY1	107	-30	NA
ADCY10	55811	25	NA
ADCY2	108	18	NA
ADCY3	109	-138	NA
ADCY4	196883	-12	NA
ADCY5	111	-58	NA
ADCY6	112	49	NA
ADCY7	113	-10	NA
ADCY8	114	61	NA
ADCY9	115	-41	NA
ADCYAP1	116	-15	NA
ADCYAP1R1	117	41	NA
ADD1	118	-38	NA
ADD2	119	36	NA
ADD3	120	82	NA
ADGB	79747	17	NA
ADGRA1	84435	10	NA
ADGRA2	25960	21	NA
ADGRA3	166647	-101	NA
ADGRB1	575	86	NA
ADGRB2	576	-46	NA
ADGRB3	577	20	NA
ADGRD1	283383	24	NA
ADGRD2	347088	0	NA
ADGRE1	2015	-49	NA
ADGRE2	30817	43	NA
ADGRE3	84658	10	NA
ADGRE5	976	-40	NA
ADGRF1	266977	-7	NA
ADGRF2		43	NA
ADGRF3	165082	25	NA
ADGRF4	221393	86	NA
ADGRF5	221395	5	NA
ADGRG1	9289	-48	NA
ADGRG2	10149	15	NA
ADGRG3	222487	18	NA
ADGRG4	139378	-4	NA
ADGRG5	221188	-45	NA
ADGRG6	57211	32	NA
ADGRG7	84873	38	NA
ADGRL1	22859	-12	NA
ADGRL2	23266	-14	NA
ADGRL3	23284	-13	NA
ADGRL4	64123	-25	NA
ADGRV1	84059	24	NA
ADH1A	124	2	NA
ADH1B	125	-5	NA
ADH1C	126	-26	NA
ADH4	127	0	NA
ADH5	128	-34	NA
ADH6	130	3	NA
ADH7	131	-16	NA
ADHFE1	137872	-43	NA
ADI1	55256	-90	NA
