Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[ecotype]	Sample Characteristic Ontology Term[ecotype]	Sample Characteristic[genotype]	Sample Characteristic Ontology Term[genotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sampling site]	Sample Characteristic Ontology Term[sampling site]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[sampling site]	Factor Value Ontology Term[sampling site]	Analysed
ERR3333413	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 1	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 1	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333414	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 2	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 2	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333415	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 3	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 3	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333416	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 4	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 4	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333417	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 5	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 5	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333418	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 6	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 6	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333419	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 7	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 7	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333420	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 8	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 8	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333421	28 to 35 day		flower stage 15		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	carpel	http://purl.obolibrary.org/obo/PO_0009030	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	flower stage 15		carpel	http://purl.obolibrary.org/obo/PO_0009030	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333422	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 9	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 9	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333423	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 10	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 10	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333424	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 11	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 11	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333425	22 day		adult	http://www.ebi.ac.uk/efo/EFO_0001272	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 12	http://purl.obolibrary.org/obo/PO_0000014	adult	http://www.ebi.ac.uk/efo/EFO_0001272	rosette leaf	http://purl.obolibrary.org/obo/PO_0000014	rosette leaf 12	http://purl.obolibrary.org/obo/PO_0000014	Yes
ERR3333426	28 to 35 day		flower stage 9		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	flower	http://purl.obolibrary.org/obo/PO_0009046	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	flower stage 9		flower	http://purl.obolibrary.org/obo/PO_0009046	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333427	28 to 35 day		flower stage 10		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	flower	http://purl.obolibrary.org/obo/PO_0009046	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	flower stage 10		flower	http://purl.obolibrary.org/obo/PO_0009046	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333428	28 to 35 day		flower stage 11		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	flower	http://purl.obolibrary.org/obo/PO_0009046	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	flower stage 11		flower	http://purl.obolibrary.org/obo/PO_0009046	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333429	28 to 35 day		flower stage 12		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	flower	http://purl.obolibrary.org/obo/PO_0009046	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	flower stage 12		flower	http://purl.obolibrary.org/obo/PO_0009046	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333430	28 to 35 day		flower stage 13		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	flower	http://purl.obolibrary.org/obo/PO_0009046	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	flower stage 13		flower	http://purl.obolibrary.org/obo/PO_0009046	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333431	28 to 35 day		silique stage 1		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	silique	http://purl.obolibrary.org/obo/PO_0030106	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	silique stage 1		silique	http://purl.obolibrary.org/obo/PO_0030106	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333432	28 to 35 day		silique stage 3		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	silique	http://purl.obolibrary.org/obo/PO_0030106	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	silique stage 3		silique	http://purl.obolibrary.org/obo/PO_0030106	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333433	28 to 35 day		silique stage 2		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	silique	http://purl.obolibrary.org/obo/PO_0030106	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	silique stage 2		silique	http://purl.obolibrary.org/obo/PO_0030106	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333434	28 to 35 day		silique stage 4		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	silique	http://purl.obolibrary.org/obo/PO_0030106	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	silique stage 4		silique	http://purl.obolibrary.org/obo/PO_0030106	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333435	28 to 35 day		silique stage 5		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	silique	http://purl.obolibrary.org/obo/PO_0030106	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	silique stage 5		silique	http://purl.obolibrary.org/obo/PO_0030106	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333436	28 to 35 day		embryo stage 6		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	embryo stage 6		seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333437	28 to 35 day		embryo stage 7		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	embryo stage 7		seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333438	28 to 35 day		embryo stage 8		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	embryo stage 8		seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333439	28 to 35 day		embryo stage 9		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	embryo stage 9		seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333440	35 to 42 day		embryo stage 10		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	embryo stage 10		seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333441	not available		dry seed stage	http://purl.obolibrary.org/obo/PO_0001040	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	dry seed stage	http://purl.obolibrary.org/obo/PO_0001040	seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333442	not available		seed imbibition stage	http://purl.obolibrary.org/obo/PO_0007022	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	seed imbibition stage	http://purl.obolibrary.org/obo/PO_0007022	seed	http://purl.obolibrary.org/obo/PO_0009010	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ERR3333443	28 to 35 day		flower stage 15		Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type genotype		Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	pollen	http://purl.obolibrary.org/obo/PO_0025281	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	flower stage 15		pollen	http://purl.obolibrary.org/obo/PO_0025281	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
