gene	transcript_id	xref_id	AP-1	AP-2	AP-3	AP-4	AP-7	AP-8	AP-9	AP-10	AP-11	AP-12	AP-13	AP-14	AP-15	AP-16	AP-17	AP-18	AP-20	AP-21	AP-22	AP-23	CC-1	CC-2	SDL-1	SDL-2	SDL-3	SDL-4	SDL-5	DV-FL-1	DV-FL-2	DV-FL-3	DV-FL-4	DV-FL-5	DV-FL-6	DV-EB-1	DV-EB-2	DV-EB-3	DV-EB-4	DV-EB-5	DV-EB-6	DV-EB-7	DV-EB-8	DV-EB-9	DV-EB-10	DV-LF-0	DV-LF-1	DV-LF-2	DV-LF-3	DV-LF-4	DV-LF-5	DV-LF-6	DV-LF-7	DV-LF-8	DV-LF-9	DV-LF-10	DV-LF-11	DV-LF-12
AT5G40840			0.71621006182858	0.628237	0.143652	5.72190700208804	42.294864	31.058693278261	0	1.4052783	1.490822	1.0334058	0.344282	0.935974	1.587336931582	0.7139440055968	9.83130580469058	1.01966800846515	0.903986	0.7917590806	8.029399	8.945106297119	31.13551861772	17.7842926446	0.8681418	3.311227	11.352841	12.419598356578	1.732972	5.61031858	5.255983037212	5.88310152	3.773696296659	3.105541	3.07588	3.907682939	3.906688	2.1666245	2.205093794492	2.487586509	0.49498549	0.481085	0.406431	0.257683	0.320658	1.2575	1.562282	1.1716059	1.16746	1.4105503218692	1.0160356	0.914227341	0.957122	1.28073457	1.63178427	2.022837	2.07328935534391	2.485158457
AT5G40850			25.894126	66.987559	4.033058	41.61662	12.501859	56.11963	0.111388	68.052872	63.900127	47.756493	53.105655	44.325784	75.080408	25.209028	148.61095	17.270435	64.55535	52.18657	35.860495	165.82341	59.85554	49.56376	232.37354	266.85369	131.79656	150.76388	163.51934	74.48393	54.97441	38.70676	27.652073	18.60206	19.226921	24.50952	22.83091	22.63051	48.75524	25.79653	8.76689	8.46367	9.925654	4.367396	8.231541	74.0036	185.75151	252.97523	173.98445	257.58159	179.26643	167.85498	171.79889	74.84952	183.6674	283.02772	297.81341	75.41162
AT5G40855			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G40860			0	0.126496	0.0393693	0	0.22722	0.206851	0	0	0	0	0	0	0	0.163614	4.79459	0	0	0	0	16.04214	0	0.0588639	0	0	19.40857	5.46319	0	0.332409	0.0581025	0	0	0	0	0	0	0	0	0	0	0	0.0942212	0	0.0619298	0	0	0	0	0	0	0	0	0.0539323	0	0	0	0.0558118
AT5G40870			6.02987	4.86613	1.86682	39.9978	1.58563	1.36005	0.0668148	20.9811	19.6623	15.5166	9.55653	11.5991	15.001	10.0135	17.5945	17.0615	7.82755	11.5681	19.7696	28.9069	55.9409	63.8468	12.6522	18.1274	11.2581	21.074	19.1384	36.7235	39.6562	41.4707	26.4293	22.6226	21.1647	31.2625	29.1876	23.6058	23.5656	21.5403	5.53846	4.36789	6.15608	3.00622	4.2715	9.75967	19.3221	16.0073	22.0545	22.2827	21.2838	21.7735	21.357	16.2783	23.7432	21.4903	22.4294	19.2351
AT5G40880			6.26171	7.91068	10.81487	13.19227	6.96057	16.37125	6.24879	6.772661	7.03063	7.64881	4.54355	5.65255	5.34479	12.40247	7.74661	10.58109	6.53629	7.50281	21.06306	8.63632	54.1129	17.16951	3.085344	6.98361	7.19928	10.04549	5.28091	23.0795	37.9948	16.77355	8.89227	9.36738	7.97112	11.14496	11.08137	9.54059	6.06903	6.2102	0.649815	0.652178	0.558041	0.200642	0.5438209	20.26369	7.7548	9.5092	5.32833	5.265209	4.24614	5.27668	7.72921	7.383873558	7.1517	7.50779	7.40767	5.949365
AT5G40890			23.57755	6.82455	3.25129589302	9.5276583933	0	0.0220327	0.0158483	66.3923	79.7309	36.539	56.4073	55.7167	56.39663	11.961243	83.89383	4.57337	2.986561	1.629106	0.714475	13.98742	0.0160445	7.40342	71.9308	67.1741	153.37083	72.75055	65.58864	17.33217	21.15673	16.8945	20.4585	18.2991	21.2294	7.748995	9.86031000370313	7.121671	10.3081	10.9381	0	0.0537104	0.285261	0.144295	0.140694	71.005257	140.1321	131.06075	128.051	144.5631	136.5434	102.63167	80.14088	64.6472	68.38234	49.02146	48.98793	29.81326
AT5G40900			0	0	0	0.840824	0	0	0	0	0	0	0	0	0	0	1.38959	0	0	0	0	0	0	0	0.101634	0	0.870536	0.31683	0.214527	0	0.0587964	0	0.0607354	0.0584603	0.387359	1.54542	1.21927	1.72563	4.75441	3.70052	0	0.0914762	0	0.0633709	0.0539562	0	0.116093	0.059856	0.0542351	0.117354	0.355065	0.123886	0.0488376	0	0.302266	0.056452	0.221003	0.0563567
AT5G40910			20.9122500001751	12.98542685	6.30236634738294	74.02069	2.26341954414012	1.7907873	0.269979	72.527763	70.849531	42.727081	19.85579639758	37.41953175258	69.771711	26.235434	34.889319	66.83402	24.48054	21.482773	9.610825	78.70606	11.4850130115707	93.077757	21.005537	55.257058	13.427779	28.14385	26.17724508862	124.05727	85.370002	96.46728	51.5410751	48.592906	32.42291	45.422538	46.698414	35.15811955006	14.164759	4.62438230148716	0.324068	0.18239225	1.768111	1.3815065	2.22952269	33.115805	59.13776	49.682017058	50.956033	61.6504	47.2963417008	47.061447	39.044259	31.159464	51.6770589003	52.031964004001	56.789235	49.6917
AT5G40930			81.12934	82.4249	37.24698	82.82914	60.09871	71.34187	15.70089	66.25538	61.15339	69.13394	39.483318	46.60661	50.15121	118.8333	72.10415	83.42481	60.8307	61.92798	91.38048	71.38774	333.9209	147.7082	47.91441	59.15365	71.35845	79.70508	55.84456	66.83854	86.9063	81.7555	73.67289	68.52255	72.28519	76.30566	74.01453	72.30265	60.875629	73.740468	24.2494	19.7916	21.4291	10.788	12.7775	64.64835	68.30343	62.20136	55.64724	54.84279	46.5477	40.6521	37.42461	41.67643	41.83077	46.98523	51.38175	50.3104
