Symbol	xref_id	Basal_011116	Basal_011316	Basal_081715	Basal_112415	Suprabasal_011116	Suprabasal_011316	Suprabasal_081715	Suprabasal_112415
TMEM238	388564	0	0	0.4077	0.5384	0.9526	0.8339	0.2813	0.4078
RPL28	6158	22.86	8.85	59.68	53.54	23.77	18.95	36.93	23.49
MIR6805	102465483	0	0	4.57	0	0	0.5498	1.802	0
UBE2S	27338	0.3805	0.09951	0.9494	0.7825	0.01393	0.1205	0.543	0.6678
SNORD157	109623451	0	0	0	0	0	0	0.8215	0
LOC105372462	105372462	0	0.08267	0.3467	0	0.6557	0	0.07974	0
SHISA7	729956	0	0	0	0	0	0	0	0
ISOC2	79763	0.6162	0.2407	1.735	1.499	0.4211	1.761	4.054	0.5888
ZNF628	89887	0.04061	0.07137	0.1995	0.1779	0.04163	0.05402	0.04426	0.01109
NAT14	57106	0.6493	0.1752	0.8395	0.2494	0	0	0.1035	0
SSC5D	284297	0.399	0	0	0	0.4726	0	0	0
SBK2	646643	0	0	0	0	0	0	0	0
SBK3	100130827	0	0	0	0	0	0	0	0
ZNF579	163033	0.03158	0.03469	0.02424	0.3457	0	0.09333	0.2294	0
FIZ1	84922	0.2351	0.4734	0.7309	0.7531	0.2169	0.469	0.6263	0.1043
ZNF524	147807	0.3395	0.0226	0.5212	0.3003	0.2847	0.04561	0.1495	0.08425
LOC107985322	107985322	0.3855	0.9881	2.269	0.6253	0.1976	0	0.5835	0
ZNF865	100507290	0.2515	0.1091	0.4577	0.3626	0.1146	0.2753	0.1805	0.2289
ZNF784	147808	0.209	0.017	1.604	0.2448	0	0	1.096	0
LOC107983998	107983998	0.4132	0.08646	0.5665	0.6942	0.6656	0.2617	0.5004	0.2418
ZNF581	51545	0.8199	0.1386	2.397	1.56	0	0.4427	2.425	0.08609
ZNF580	51157	1.124	2.195	2.61	3.225	0.08861	1.853	1.954	0.8457
CCDC106	29903	0.01594	0	0.03672	0.1034	0	0	0.1255	0.185
U2AF2	11338	1.533	1.184	1.883	1.831	0.3285	0.3501	1.249	2.539
EPN1	29924	0.1761	0.242	0.3016	0.279	0.1027	0.2502	0.4691	0.02589
NLRP9	338321	0	0	0.009622	0.1118	0	0.02778	0.01518	0
LOC105372465	105372465	0	0	0	0	0	0	0	0
RFPL4A	342931	0	0	0	0	0	0	0	0
RFPL4AL1	729974	0	0	0	0	0	0	0	0
NLRP11	204801	0	0	0	0	0	0	0	0
NLRP4	147945	0	0	0	0	0	0	0	0
NLRP13	126204	0	0	0	0	0	0	0	0
NLRP8	126205	0	0	0	0	0	0	0	0
NLRP5	126206	0	0	0	0	0	0	0	0
LINC01864	101928886	0	0	0	0	0	0	0	0
ZNF787	126208	0.0868	0.03178	0.2066	0.0704	0.2758	0.06414	0.1156	0.4977
ZNF444	55311	0.1914	0.2915	0.1352	0.1428	0.1413	0.1584	0.1437	0.03658
GALP	85569	0	0	0	0	0	0	0	0
ZSCAN5B	342933	0	0	0	0.01959	0	0	0	0
ZSCAN5C	649137	0	0	0	0	0	0	0.01873	0.06336
ZSCAN5A	79149	0.009053	0.1458	0.1877	0.3304	0.009279	0.08028	0.1973	0.1174
EDDM13	100506374	0.6823	0.6149	1.692	2.426	8.231	0.7369	0.4767	1.182
LOC105372470	105372470	0.05009	0	0.5768	0.04063	0	0	0	0.3419
ZSCAN5A-AS1	112268243	0	0.03861	0	0.08552	0	0	0	0.4318
LOC105372468	105372468	0	0.466	0.4885	0	0	0.7053	0.4816	0
ZNF542P	147947	0.5322	1.426	1.922	2.855	0.0372	1.082	0.4614	0.6357
ZNF582	147948	0.4447	0.1411	0.1252	0.1683	0.0152	0.03286	0.1616	0
ZNF582-DT	386758	0	0.1147	0.05156	0.6899	0	0.04962	0.01355	0
ZNF583	147949	0.09523	0.1162	0.1901	0.06179	0.03904	0	0.01153	0
ZNF667	63934	0.2116	0.1076	0.3565	0.572	0.1325	0.06081	0.0605	0.02808
ZNF667-AS1	100128252	1.061	2.937	5.185	5.246	1.91	2.925	2.742	4.998
LOC105372471	105372471	0	0.007947	0	0.05281	0	0	0.07228	0
ZNF471	57573	2.153	0.3389	1.475	1.163	1.067	0.3048	0.3564	0.1064
ZFP28-DT	101928982	0.179	0	0.1375	0.1452	0	0	0	0
ZFP28	140612	0.5334	0.2166	0.8086	0.7343	0.4135	0.2285	0.4098	0.9575
ZNF470-DT	112268241	0.6826	0.009801	0.01028	0.6621	0	0.07912	0.06483	0.009135
ZNF470	388566	0.1587	0.2231	0.5019	1.117	0.5726	0.5769	0.3536	0.1256
ZNF71	58491	1.385	0.02844	0.8149	0.4199	0	0.2009	0.8308	0
