Metabolite	HMDB	KEGG	xref_id	Hot_F1	Hot_F2	Hot_F3	Hot_F4	Hot_P1	Hot_P2	Hot_P3	Hot_P4
Uridine	HMDB0000296	C00299	CHEBI:16704	0.428155535	0.596568759	1.297876829	1.452845264	0.470480771	0.062855609	0.05964691	0.077922027
N-Acetylglutamic acid	HMDB0001138	C00624	CHEBI:44337	0.078218657	0.081434453	0.131740565	0.118918948	0.201476306	0.195677268	0.150406345	0.122979407
Adenosine	HMDB0000050	C00212	CHEBI:16335	0.567956816	1.299367004	3.040210804	1.973313796	0.413872691	0.150141975	0.118255097	0.105356341
L-Isoleucine	HMDB0000172	C00407	CHEBI:58045	0.850709558	0.571019325	2.517050097	2.041913323	0.849035324	0.463923825	0.916939932	1.011777845
L-Tyrosine	HMDB0000158	C00082	CHEBI:58315	0.622679483	0.304954383	1.218106143	0.854742572	0.622311357	0.399985958	0.443019528	0.395991275
Tyramine	HMDB0000306	C00483	CHEBI:327995	0.024319449	0.067133335	0.066036536	0.082275031	0.199412034	0.510566164	0.83207964	0.406911701
Guanosine	HMDB0000133	C00387	CHEBI:16750	0.081644919	0.112997322	0.176784547	0.224816601	0.101129104	0.039347392	0.020387353	0.034584245
L-Leucine	HMDB0000687	C00123	CHEBI:57427	2.247332021	1.645267134	4.557596934	4.087251359	2.790599885	1.877934673	3.107550219	2.854751347
L-Phenylalanine	HMDB0000159	C00079	CHEBI:58095	1.981302477	1.303334342	2.273509027	1.898486607	1.859078119	1.193289438	1.207696535	1.293319841
L-Tryptophan	HMDB0000929	C00078	CHEBI:57912	0.057164266	0.06217371	0.1250968	0.083717296	0.028402001	0.038953367	0.036625848	0.015132471
myo-Inositol	HMDB0000211	C00137	CHEBI:17268	2.713701386	3.431092805	4.54036214	2.307526662	1.441759018	3.18735651	4.706615121	4.165947827
D-Fructose	HMDB0000660	C00095	CHEBI:28645	0.998046873	0.838596348	10.85175952	5.813451308	16.27580569	9.519799933	9.886448498	9.073063604
Sorbitol	HMDB0000247	C00794	CHEBI:17924	0.355456006	0.409999964	0.701080155	0.474717598	0.928971733	0.846876038	0.759980996	0.541460999
D-Glucose	HMDB0000122	C00031	CHEBI:17925	3.663650391	4.881708656	8.829241628	2.349720342	19.17374539	13.72046847	12.05834105	8.985980464
Sucrose	HMDB0000258	C00089	CHEBI:17992	79.0724377	86.27202295	79.26080507	80.20685467	77.31425032	73.15502803	73.10007465	69.83897243
Laminaribiose	-	-	CHEBI:18411	0.851789122	0.943453108	1.468631623	1.261772499	0.710471785	0.827180077	0.791078931	0.572156834
